,Name,Season,Pos,TRB,AST,STL,BLK,PTS,TS%,WS/48,BPM,VORP,Wins,Seed,All-Star,All-NBA
1,Giannis Antetokounmpo,2017-18,F,13.6,6.5,2,1.9,36.4,0.598,0.207,5.8,5.4,44,7,1,1
4,Paul George,2017-18,F,7.7,4.5,2.8,0.7,29.8,0.57,0.147,2.5,3.3,48,4,1,1
5,James Harden,2017-18,G,7.5,12.2,2.4,1,42.3,0.619,0.289,10.9,8.3,65,1,1,1
4,Stephen Curry,2017-18,G,7.7,9.2,2.4,0.2,39.8,0.675,0.267,8.6,4.4,58,2,1,1
0,Joel Embiid,2017-18,C,17.4,5,1,2.8,36.3,0.573,0.155,2.6,2.2,52,3,1,1
8,Kevin Durant,2017-18,F,9.6,7.6,1,2.5,37.1,0.64,0.215,5.6,4.5,58,2,1,1
3,Damian Lillard,2017-18,G,6.1,9,1.4,0.5,36.6,0.594,0.227,6.7,5.9,49,3,1,1
4,Kyrie Irving,2017-18,G,5.9,7.9,1.7,0.4,37.9,0.61,0.222,6.2,4,55,2,1,0
13,LeBron James,2017-18,F,11.5,12.1,1.9,1.1,36.4,0.621,0.221,9.6,8.9,50,4,1,1
1,Kemba Walker,2017-18,G,4.4,7.9,1.6,0.4,31.6,0.572,0.15,3.2,3.6,36,10,1,0
6,Russell Westbrook,2017-18,G,13.7,14,2.5,0.3,34.5,0.524,0.166,8.2,7.5,48,4,1,1
4,Anthony Davis,2017-18,F,14.6,3,2,3.4,36.9,0.612,0.241,5.2,4.9,48,6,1,1
6,LaMarcus Aldridge,2017-18,C,12.8,3.1,0.9,1.8,34.9,0.57,0.209,3.3,3.3,47,7,1,1
3,DeMar DeRozan,2017-18,G,5.7,7.6,1.5,0.4,33.5,0.555,0.17,1.8,2.6,59,1,1,1
0,Karl-Anthony Towns,2017-18,C,17.3,3.4,1.1,2,29.9,0.646,0.23,5.5,5.5,47,8,1,1
3,Jimmy Butler,2017-18,G,7.3,6.7,2.7,0.6,30.2,0.59,0.198,5,3.8,47,8,1,1
0,Victor Oladipo,2017-18,G,7.6,6.3,3.5,1.1,34,0.577,0.155,4.9,4.5,48,5,1,1
2,Draymond Green,2017-18,F,11.3,10.7,2,1.9,16.3,0.556,0.127,3.2,3,58,2,1,0
4,John Wall,2017-18,G,5.3,13.8,2,1.6,28.1,0.515,0.092,1.5,1.2,43,8,1,0
3,DeMarcus Cousins,2017-18,C,17,7.1,2.2,2.1,33.3,0.583,0.13,5.5,3.3,48,6,1,0
1,Andre Drummond,2017-18,C,23.7,4.5,2.2,2.4,22.3,0.555,0.189,5.5,5,39,9,1,0
3,Klay Thompson,2017-18,G,5.3,3.6,1.1,0.7,28.1,0.598,0.094,-0.6,0.9,58,2,1,0
3,Kyle Lowry,2017-18,G,8.5,10.5,1.7,0.4,24.9,0.598,0.194,5.9,5,59,1,1,0
4,Kevin Love,2017-18,C,16.2,3.1,1.3,0.7,30.8,0.614,0.185,1.3,1.4,50,4,1,0
1,Goran Dragić,2017-18,G,6.5,7.6,1.3,0.3,27.4,0.543,0.106,-0.1,1.2,44,6,1,0
4,Al Horford,2017-18,C,11.6,7.4,0.9,1.7,20.3,0.575,0.165,4,3.5,55,2,1,0
0,Bradley Beal,2017-18,G,6.1,6.2,1.6,0.6,31,0.564,0.111,1.7,2.7,43,8,1,0
0,Kristaps Porziņģis,2017-18,F,10.1,1.8,1.1,3.7,34.7,0.539,0.099,-0.7,0.5,29,11,1,0
0,Giannis Antetokounmpo,2016-17,F,12.5,7.7,2.3,2.7,32.7,0.599,0.21,7.6,6.9,42,6,1,1
3,Paul George,2016-17,F,9.2,4.7,2.2,0.5,33,0.587,0.126,2.8,3.2,42,7,1,0
4,James Harden,2016-17,G,10.7,14.8,2,0.6,38.4,0.613,0.245,10.1,9,55,3,1,1
3,Stephen Curry,2016-17,G,6.4,9.6,2.6,0.3,36.5,0.624,0.229,7.3,6.2,67,1,1,1
7,Kevin Durant,2016-17,F,11.9,7,1.5,2.3,36.1,0.651,0.278,8,5.2,67,1,1,1
1,Kawhi Leonard,2016-17,F,8.9,5.4,2.7,1.1,38.9,0.61,0.264,7.9,6.2,61,2,1,1
3,Kyrie Irving,2016-17,G,4.5,8.3,1.6,0.5,35.9,0.58,0.17,2.5,2.9,51,2,1,0
0,Rudy Gobert,2016-17,C,19.8,1.9,0.9,4.1,21.7,0.681,0.25,5.8,5.4,51,5,0,1
12,LeBron James,2016-17,F,11.4,11.5,1.6,0.8,34.9,0.619,0.221,8.4,7.3,51,2,1,1
0,Kemba Walker,2016-17,G,5.6,7.9,1.6,0.4,33.5,0.569,0.142,3.6,3.9,36,11,1,0
5,Russell Westbrook,2016-17,G,15.1,14.7,2.3,0.5,44.8,0.554,0.224,15.6,12.4,47,6,1,1
3,Anthony Davis,2016-17,C,16,2.8,1.7,3,38,0.58,0.195,3.7,3.9,34,10,1,1
2,DeMar DeRozan,2016-17,G,7.5,5.6,1.5,0.3,39.1,0.552,0.166,0.9,1.9,51,3,1,1
2,Jimmy Butler,2016-17,F,8.4,7.5,2.6,0.6,32.6,0.586,0.236,6.9,6.3,41,8,1,1
2,DeAndre Jordan,2016-17,C,21.7,1.9,1,2.6,20,0.673,0.221,4.1,3.9,51,4,1,1
1,Draymond Green,2016-17,F,11.7,10.4,3,2.1,15.1,0.522,0.16,5.4,4.6,67,1,1,1
3,John Wall,2016-17,G,5.7,14.4,2.7,0.9,31.4,0.541,0.149,4.1,4.3,49,4,1,1
2,DeMarcus Cousins,2016-17,C,16.2,6.8,2,1.9,39.6,0.562,0.149,6.6,5.3,34,10,1,0
2,Klay Thompson,2016-17,G,5.2,2.9,1.2,0.7,31.6,0.592,0.129,0.3,1.5,67,1,1,0
2,Kyle Lowry,2016-17,G,6.5,9.4,2,0.4,30.4,0.623,0.216,6.6,4.9,51,3,1,0
3,Marc Gasol,2016-17,C,9.5,6.9,1.4,2,29.7,0.554,0.145,4.2,4,43,7,1,0
3,Kevin Love,2016-17,F,17.6,3.1,1.4,0.6,30.2,0.573,0.163,0.8,1.3,51,2,1,0
11,Carmelo Anthony,2016-17,F,8.6,4.2,1.2,0.7,32.7,0.535,0.089,-0.7,0.8,31,12,1,0
3,Paul Millsap,2016-17,F,11.2,5.3,1.9,1.3,26.2,0.542,0.132,2.7,2.7,43,5,1,0
